country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Slovenia,LIUBLIANA,left,0.7123,2022,46.0500268,14.5069289
South Africa,CIDADE DO CABO,right,0.7576,2014,-33.9288301,18.4172197
South Africa,CIDADE DO CABO,right,0.5614,2018,-33.9288301,18.4172197
South Africa,CIDADE DO CABO,left,0.6173,2022,-33.9288301,18.4172197
South Africa,PRETÓRIA,right,0.7842,2014,-25.7459277,28.1879101
South Africa,PRETÓRIA,right,0.8047,2018,-25.7459277,28.1879101
South Africa,PRETÓRIA,right,0.7138,2022,-25.7459277,28.1879101
South Korea,SEUL,right,0.913,2014,37.5666791,126.9782914
South Korea,SEUL,right,0.6552,2018,37.5666791,126.9782914
South Korea,SEUL,left,0.6429,2022,37.5666791,126.9782914
Spain,BARCELONA,right,0.6082,2014,41.3825802,2.177073
Spain,BARCELONA,left,0.5381,2018,41.3825802,2.177073
Spain,BARCELONA,left,0.7551,2022,41.3825802,2.177073
Spain,MADRI,right,0.6909,2014,40.4115068,-3.6906931
Spain,MADRI,right,0.5983,2018,40.4115068,-3.6906931
Spain,MADRI,left,0.5609,2022,40.4115068,-3.6906931
Suriname,PARAMARIBO,right,0.6366,2014,5.8241764,-55.1662813
Suriname,PARAMARIBO,right,0.7617,2018,5.8241764,-55.1662813
Suriname,PARAMARIBO,right,0.7299,2022,5.8241764,-55.1662813
Sweden,ESTOCOLMO,right,0.5898,2014,59.3251172,18.0710935
Sweden,ESTOCOLMO,left,0.6127,2018,59.3251172,18.0710935
Sweden,ESTOCOLMO,left,0.7671,2022,59.3251172,18.0710935
Switzerland,GENEBRA,right,0.7036,2014,46.2017559,6.1466014
Switzerland,GENEBRA,right,0.6315,2018,46.2017559,6.1466014
Switzerland,GENEBRA,left,0.5045,2022,46.2017559,6.1466014
Switzerland,ZURIQUE,right,0.7193,2014,47.3744489,8.5410422
Switzerland,ZURIQUE,right,0.6163,2018,47.3744489,8.5410422
Switzerland,ZURIQUE,left,0.5359,2022,47.3744489,8.5410422
Taiwan,TAIPÉ,right,0.886,2014,25.0375198,121.5636796
Taiwan,TAIPÉ,right,0.8241,2018,25.0375198,121.5636796
Taiwan,TAIPÉ,right,0.5665,2022,25.0375198,121.5636796
Tanzania,DAR ES SALAAM,left,0.5385,2018,-6.8160837,39.2803583
Tanzania,DAR ES SALAAM,left,0.75,2022,-6.8160837,39.2803583
Thailand,BANGKOK,right,0.8462,2014,13.7524938,100.4935089
Thailand,BANGKOK,right,0.7162,2018,13.7524938,100.4935089
Thailand,BANGKOK,right,0.5155,2022,13.7524938,100.4935089
Trinidad and Tobago,PORT OF SPAIN,right,1.0,2014,10.6572678,-61.5180173
Trinidad and Tobago,PORT OF SPAIN,right,0.871,2018,10.6572678,-61.5180173
Trinidad and Tobago,PORT OF SPAIN,left,0.5161,2022,10.6572678,-61.5180173
Tunisia,TUNIS,right,0.875,2014,36.8002068,10.1857757
Tunisia,TUNIS,right,0.6087,2018,36.8002068,10.1857757
Tunisia,TUNIS,left,0.6667,2022,36.8002068,10.1857757
Turkey,ANCARA,right,0.8667,2014,39.9207759,32.8540497
Turkey,ANCARA,right,0.5333,2018,39.9207759,32.8540497
Turkey,ANCARA,left,0.7143,2022,39.9207759,32.8540497
Turkey,ISTAMBUL,right,0.8485,2014,41.006381,28.9758715
Turkey,ISTAMBUL,right,0.6111,2018,41.006381,28.9758715
Turkey,ISTAMBUL,left,0.6333,2022,41.006381,28.9758715
Ukraine,KIEV,right,0.7083,2018,50.4500336,30.5241361
United Arab Emirates,ABU DHABI,right,0.8718,2014,24.4538352,54.3774014
United Arab Emirates,ABU DHABI,right,0.7962,2018,24.4538352,54.3774014
United Arab Emirates,ABU DHABI,right,0.5948,2022,24.4538352,54.3774014
United Kingdom,LONDRES,right,0.7547,2014,51.5074456,-0.1277653
United Kingdom,LONDRES,right,0.6153,2018,51.5074456,-0.1277653
United Kingdom,LONDRES,left,0.6015,2022,51.5074456,-0.1277653
United States,ATLANTA,right,0.8947,2014,33.7489924,-84.3902644
United States,ATLANTA,right,0.8809,2018,33.7489924,-84.3902644
United States,ATLANTA,right,0.7408,2022,33.7489924,-84.3902644
United States,BOSTON,right,0.8151,2014,42.3554334,-71.060511
United States,BOSTON,right,0.8658,2018,42.3554334,-71.060511
United States,BOSTON,right,0.7575,2022,42.3554334,-71.060511
United States,CHICAGO,right,0.8582,2014,41.8755616,-87.6244212
United States,CHICAGO,right,0.6972,2018,41.8755616,-87.6244212
United States,CHICAGO,left,0.559,2022,41.8755616,-87.6244212
United States,HARTFORD,right,0.8174,2014,41.764582,-72.6908547
United States,HARTFORD,right,0.8549,2018,41.764582,-72.6908547
United States,HARTFORD,right,0.6399,2022,41.764582,-72.6908547
United States,HOUSTON,right,0.8922,2014,29.7589382,-95.3676974
United States,HOUSTON,right,0.8124,2018,29.7589382,-95.3676974
United States,HOUSTON,right,0.6534,2022,29.7589382,-95.3676974
United States,LOS ANGELES,right,0.8687,2014,34.0536909,-118.242766
United States,LOS ANGELES,right,0.7191,2018,34.0536909,-118.242766
United States,LOS ANGELES,right,0.5074,2022,34.0536909,-118.242766
United States,MIAMI,right,0.9179,2014,,
United States,MIAMI,right,0.9104,2018,25.7741728,-80.19362
United States,MIAMI,right,0.8118,2022,25.7741728,-80.19362
United States,NOVA YORK,right,0.8364,2014,40.7127281,-74.0060152
United States,NOVA YORK,right,0.7639,2018,40.7127281,-74.0060152
United States,NOVA YORK,right,0.5323,2022,40.7127281,-74.0060152
United States,SÃO FRANCISCO,right,0.8359,2014,37.7792588,-122.4193286
United States,SÃO FRANCISCO,right,0.6188,2018,37.7792588,-122.4193286
United States,SÃO FRANCISCO,left,0.6095,2022,37.7792588,-122.4193286
United States,WASHINGTON,right,0.8482,2014,38.8950368,-77.0365427
United States,WASHINGTON,right,0.6941,2018,38.8950368,-77.0365427
United States,WASHINGTON,left,0.5057,2022,38.8950368,-77.0365427
Uruguay,ARTIGAS,right,0.6009,2014,-30.6170756,-56.9373451
Uruguay,ARTIGAS,right,0.7935,2018,-30.6170756,-56.9373451
Uruguay,ARTIGAS,right,0.7002,2022,-30.6170756,-56.9373451
